"","x1","text.x","time.x","name.x","party.x","...1","text.y","time.y","name.y","party.y","for_blm","against_blm","topic_blm"
"11",88721,"Travel Advisory: Based on updated positivity rates, Ohioans are encouraged to avoid travel to: 
 South Dakota
 Idaho
 Wisconsin
 Iowa
 Kansas
 Missouri
 Mississippi

Anyone entering Ohio after travel to these states is asked to self-quarantine for 14 days.",2020-09-30 17:59:48,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"12",122332,"From Chicago to Carbondale and Marion to Moline, Illinois teachers have stepped up with generosity, creativity and a resolute focus on caring for our students and our communities.
 
Thank an educator today: http://allin.illinois.gov/teachers
 
#ILSchoolsStepUp #AllInIllinois",2020-05-07 15:25:09,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"13",71953,"Every young person in our state deserves to have a family to call their own have someone to look up to as a mentor as they grow up & become adults. Adoption is a truly special bond.",2020-09-17 16:42:18,"Eric Holcomb","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"14",124726,"Edith Abbott was born in Grand Island and became the first female dean of a graduate school and helped draft the Social Security Act.",2020-08-18 22:07:20,"Pete Ricketts","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"15",146770,"Make sure you get tested, especially if you think you may have been exposed to someone positive for COVID-19 or if you are in a large group. For a full list of testing sites:",2020-06-23 23:50:19,"John Carney","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"16",119076,"As a result, we’ve been able put large numbers of Vermonters back to work, including from sectors like manufacturing, retail, health care, childcare, construction, and those in salons, restaurants, hotels and more -- joining essential workers who never left the frontlines. 2/",2020-08-14 15:12:18,"Phil Scott","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"17",90595,"Our next #COVID19 update for #Ohio is today at 2 p.m.

Check your local media or: 
 TV: Ohio's 
@PBS
 stations
 RADIO: Ohio's 
@NPR
 affiliates
 ONLINE: http://ohiochannel.org

#InThisTogetherOhio
#ResponsibleRestartOhio
#StaySafeOhio

http://coronavirus.ohio.gov",2020-05-04 17:00:05,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"18",61052,"Join us at 1:30 pm for our live media briefing. 

Tune in here",2020-05-14 18:03:51,"Tony Evers","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"19",167081,"Ward 4, FY2021 Budget Investments",2020-05-19 18:03:40,"Muriel Bowser","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"20",122211,".
@senatorcastro
: Lynette from Elgin asks: are you redesigning the unemployment system to handle increased volume?
@GovPritzker
: This is unprecedented. We added staff to the team, increased website capacity & set up a brand-new system for processing PUA claims in record timing.",2020-05-19 16:26:00,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"21",166748,"9/ I was born without representation, but I swear – I will not die without representation. Together, we will achieve DC statehood, and when we do, we will look back on this day and remember all who stood with us on the right side of history.",2020-06-26 19:17:00,"Muriel Bowser","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"22",97675,"I understand the frustrations of families in counties not yet able to return to the classroom.

It's not about living in fear – it's about prioritizing health and safety. I cannot and will not put students or educators at risk.",2020-09-16 17:10:39,"Michelle Lujan Grisham","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"23",63306,"For a summary of the latest news statewide from my office, sign up to receive monthly updates in the Capitol Connection newsletter 
 https://governor.hawaii.gov/subscribe/",2020-09-18 01:45:15,"David Ige","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"24",102026,"Aurora was a creative spirit, a woman of deep faith, and a fighter. She fought kidney disease for 25 years and never let the challenges she faced with her health impact her ability to have fun and enjoy life. May God bless Elena and Aurora, and their families.",2020-07-13 17:19:17,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"25",46131,"Dine-in restaurants that open in counties that have not been authorized to reopen will risk receiving a citation.
 
These citations can ultimately lead to the loss of a restaurant’s liquor license.",2020-05-11 16:37:39,"Tom Wolf","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"26",103785,"Cherie La Pelusa was the beloved wife of 28 years of Bayonne 3rd Ward Councilman Gary La Pelusa. She was a co-owner of her husband’s landscaping business, and she also ran his civic association. We keep her family in our thoughts and prayers.",2020-05-01 17:15:03,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"27",43738,"Consumer and employee confidence is needed in order for Idaho’s economy to rebound more quickly. Businesses opening their doors should have operational plans in place to mitigate the risk of spreading COVID-19. New protocols were recently added.",2020-05-18 22:47:25,"Brad Little","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"28",102752,"We’ve worked hard to expand testing and contact tracing capacity. This will not only put us firmly on the road back – but also ensure we stay there.
 
To learn more, visit: http://covid19.nj.gov/testandtrace.",2020-06-10 17:15:23,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"29",82594,"#COVID19 has posed lots of new challenges for all of us.

I’d like to remind everyone that at our core we are neighbors, and we're in this together. The woman in front of you at the grocery store or the man at the pharmacy could be going through a lot right now. (3/)",2020-09-26 17:18:10,"Kristi Noem","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"30",100578,"I’ve extended the public health emergency in New Jersey for an additional 30 days.

With the alarming rise in cases we have seen today (our highest count since May), it could not be more important to ensure we have access to all available resources to keep New Jerseyans safe.",2020-10-24 15:50:28,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"31",190235,"A good (and very adorable) reminder from Oregonian illustrator 
@magrudy
, who created a free downloadable version of this poster in more than two dozen languages. https://maggierudy.com/wear-a-mask-poster…",2020-08-23 15:50:05,"Kate Brown","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"32",86993,"Today begins Phase 2 of ""Ad Astra: A Plan to Reopen Kansas,"" as well as the start of #MemorialDayWeekend. Reminder: our state's move into Phase 2 does not mean that the threat of COVID-19 has subsided. Please be safe this weekend, practice social distancing and wear a mask.",2020-05-22 15:15:31,"Laura Kelly","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"33",90037,"Regardless of why some agencies have not become certified, I’m encouraging the 400+ agencies that are not certified to begin working on this process today. I’ve directed 
@Ohio_OCJS
 to reach out to these agencies to assist them in any way they can.",2020-06-09 18:11:31,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"34",115326,"Extending these orders through June 15th is consistent with the State of Emergency extension and gives Missourians more time to adjust to the reopening. 
https://sos.mo.gov/library/reference/orders/2020/eo10…",2020-05-04 21:37:54,"Mike Parson","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"35",89426,"Allen Co
 Level 3 & Watch List. Over the past 14 days, 110 #COVID19 cases have been identified, which is 23% of the county’s total number of cases since the beginning of the pandemic. Also, 
 in people seeking medical care from doctors and in the emergency room.",2020-07-23 18:17:26,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"36",97901,"You know you’re in trouble when you have to take Saul Goodman’s advice. #MaskUp",2020-07-16 19:55:05,"Michelle Lujan Grisham","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"37",146833,"This law enforcement memorial in front of Legislative Hall helps us remember the brave men and women - in Delaware and across our country - who have made the ultimate sacrifice protecting all of us. This kind of vandalism is unacceptable.",2020-06-12 15:09:56,"John Carney","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"38",122237,".
@GovPritzker
: Anything you would like to say to your fellow healthcare workers, friends or family? 

Falguni: Be safe. Follow the rules. If we have a resurgence, it will be a very bad situation. We need to follow the science.",2020-05-15 21:30:39,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"39",86610,"It’s the hard work and ingenuity of Kansans that has both historically and presently pushed our nation’s innovative spirit. 
https://kansascity.com/news/article246777747.html…",2020-10-29 20:56:14,"Laura Kelly","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"40",146418,"Ashley Jurden and her son Quentin are an excellent example of how 
@dollyslibrary
 inspires creativity and a healthy reading habit. 

Sign up for 
@DollyParton
's Imagination Library through 
@DELibraries
 at https://lib.de.us/imagination/",2020-09-27 16:35:00,"John Carney","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"41",101283,"Angel Santiago is a 5th grade teacher at Loring Flemming Elementary School in Camden County. Congrats Angel!",2020-08-26 18:41:53,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"42",146696,"From 
@BeebeHealthcare
's Dr. Tam in 
@coastalpoint
:   https://coastalpoint.com/opinion/experts_corner/beebe_experts/now-is-not-the-time-to-relax-on-covid-19-safety-measures/article_d1961396-c082-11ea-b653-7787467b1e1e.html…",2020-07-08 20:30:07,"John Carney","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"43",114433,"Grateful for the hard work of our superintendents, administrators, teachers, and school staff to prepare for the upcoming school year. It was encouraging to hear about their plans to resume teaching, whether that be onsite classes, virtual learning, or a hybrid of both.",2020-08-05 16:22:00,"Mike Parson","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"44",43601,"Under the new Strong Families, Strong Students initiative, eligible families could receive $1,500 per eligible student with a maximum award of $3,500 per family. Families can use the funds to purchase eligible educational materials, devices, and services. 
https://gov.idaho.gov/pressrelease/financial-support-for-k-12-education-grows-10-5-percent-during-pandemic/…",2020-09-11 20:15:15,"Brad Little","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"45",121438,"In the battle against #COVID19, Illinois has recently set a few records establishing our state as one of the best-performing states in the nation: 
Reported more than 74,000 tests in a one-day period 
Averaging over 52,000 tests each day
Surpassing 5 million tests",2020-09-24 14:51:24,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"46",114678,"It was a tremendous honor to speak at the ribbon cutting for the new Webster County Justice Center and to discuss the importance of passing down to the next generation the values of duty, commitment, patriotism, and love of our country.",2020-07-04 18:59:28,"Mike Parson","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"47",23644,"CA’s battling 2 of the largest fires in our history with 585 fires & 12,000 lightning strikes in the last week.

Thank you 
@realDonaldTrump
 for your partnership & granting this urgent declaration.

These are unprecedented times but  CA’s resilient as hell. We’ll get through this.",2020-08-23 00:06:00,"Gavin Newsom","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"48",176585,"A few schools are scheduled to start in July, and we ask that those schools conduct remote learning until the decision is made for in-person learning. Our goal remains getting children back in classroom for in-person instruction that's safe for students and their teachers.",2020-07-01 19:07:27,"Roy Cooper","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"49",103224,"UPDATE: We have 1,055 new positive #COVID19 cases, bringing our total to 149,013.
• Atlantic: 1,838
• Bergen: 17,522
• Burlington: 4,000
• Camden: 5,644
• Cape May: 518
• Cumberland: 1,759
• Essex: 16,686
• Gloucester: 1,935
• Hudson: 17,621
• Hunterdon: 885",2020-05-19 18:21:34,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"50",153938,"When you wear a mask, you protect others. When others wear a mask, they protect you. #MaskUpLA #lagov #lalege",2020-06-17 15:00:02,"John Bel Edwards","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"51",89650,"Schools that offer Kindergarten through Grade 12 instruction should follow the guidelines set forth last week by the Ohio Department of Education and the Ohio Department of Health.",2020-07-07 18:19:43,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"52",27343,"Watch today's live update:",2020-09-01 20:01:49,"Andy Beshear","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"53",166879,"No country in the world should turn its military on peaceful protestors. DC and those marching for justice did not deserve the militarization and suppression of our voices.

#DCstatehood now.",2020-06-11 16:05:53,"Muriel Bowser","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"54",108389,"Today's COVID-19 update in Connecticut (from Fri-Sun):
92,191 tests were administered and 2,047 came back positive (2.2% positivity rate)
270 patients are hospitalized (increase of 37)
There were 12 COVID-related deaths

For more data, visit http://ct.gov/coronavirus",2020-10-26 20:05:12,"Ned Lamont","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"55",119258,"We’ll continue to work our way through this, and learn from it, so that we can further strengthen our response -- which is exactly what we need to do -- to bridge the gap to a time when there’s a vaccine. 7/7",2020-06-05 17:27:40,"Phil Scott","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"56",146906,"Sharing this again as a reminder this Memorial Day weekend.

Look out for others. 

Act with a sense of community.

Be safe.",2020-05-23 19:46:54,"John Carney","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"57",146483,"Nonprofit organizations across our state, their employees and their volunteers have stepped up for their neighbors and provided critical services throughout this COVID-19 pandemic. 
 https://news.delaware.gov/2020/09/09/governor-carney-announces-25m-delaware-nonprofit-support-fund/…",2020-09-09 20:55:48,"John Carney","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"58",153274,"With deadlines for filling out the census and voter registration coming up, every Louisianan needs to make sure that they are counted and can vote. Visit http://geauxvote.com for voter registration information and go to http://my2020census.gov to fill out your census. #lagov",2020-10-01 23:51:42,"John Bel Edwards","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"59",119011,"This week, VT conducted over 16,000 tests, our highest weekly total yet. 

We saw a decrease in positives compared to last week and continued to have the lowest positivity rate in the US. 

This is no accident. Vermonters are following 
@healthvermont
 guidelines. Let's keep it up.",2020-08-29 14:23:00,"Phil Scott","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"60",90573,"Ohio is in much better shape today than a lot of other states are - that's due to the quick action of 
@DrAmyActon
 and Governor DeWine.",2020-05-04 18:35:09,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"61",30321,"The Town of Belmont is moving forward with a BRAND NEW Police Station. Happy to help attend the groundbreaking to get this project going!",2020-10-27 17:35:52,"Chris Sununu","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"62",30383,"In recent days, our number of daily tests has increased significantly and our percent positive rate remains low.",2020-10-08 19:16:02,"Chris Sununu","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"63",121584,"With the newly authorized saliva tests included in today’s testing count, for the first time, we are reporting more than 50,000 tests in a 24-hour period.

Today’s news puts the U of I and the entire state of Illinois on the cutting edge of testing innovation on a national level.",2020-08-19 21:45:55,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"64",121599,"Just like every part of our #covid19 response, I rely on the latest data and science to guide the way.

Let's go all in, Illinois. A mask only works if you wear it. #allinillinois",2020-08-17 22:45:05,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"65",40681,"Wayne Farms, 
@EnterpriseState
, & 
@LBWCC
 have launched AL’s first accredited workforce development apprenticeship program. This is a fine example of the partnerships we hope to spur across our state to reach our workforce attainment goal. 
@ACCS_Education",2020-07-17 20:46:05,"Kay Ivey","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"66",89610,"The average hospital admissions per day more than doubled from 7 on 6-16 to 20 on 7-2. Most of the cases in Cuyahoga County were in non-congregate settings during the last three weeks.",2020-07-09 18:30:31,"Mike DeWine","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"67",55675,"So far, Virginia has avoided the same spike in #COVID19 cases that other states are experiencing, but we are starting to see a concerning increase, particularly in Hampton Roads.

We all have to stay vigilant—we have come too far to let our guard down now.",2020-07-10 15:36:14,"Ralph Northam","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"68",133870,"With just two days left in the legislative session, the #mnleg needs to act quickly to pass a bonding bill, like my Local Jobs and Projects Plan, to boost our economic recovery, create jobs across the state, and make the investments our communities are asking for right now.",2020-05-16 18:34:36,"Tim Walz","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"69",61086,"It’s Teacher Appreciation Week! 
@LGMandelaBarnes
 and I wanted to take a moment to thank all the teachers out there who are working tirelessly to build virtual classrooms and support our students.",2020-05-05 15:19:34,"Tony Evers","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"70",121915,"Hospitalizations of covid patients have dropped 65% from a high eight weeks ago.",2020-06-25 21:15:11,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"71",101452,"Sadly, we must report 11 new confirmed #COVID19 deaths, for a total of 14,097 lives lost.

Of these 11 newly confirmed deaths, six occurred across the previous five days.

Our count of probable deaths has been refined to 1,829.",2020-08-19 17:12:28,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"72",176724,"In recent weeks, much attention has been paid to the current Phase 2 and what’s allowed to be open. We are weighing these decisions carefully but we are concerned that a number of our virus metrics are trending upward.",2020-06-08 19:08:14,"Roy Cooper","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"73",121844,"Third, the federal administration also needs to provide clarity on insurance coverage for #COVID19 testing. 

Testing is not a one-off tactic: we need regular testing across our populations, and that means people need to know their insurance will cover their testing every time.",2020-07-08 16:31:25,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"74",82738,"South Dakota took a different path, a remarkable one: we gave our people their Freedom.",2020-07-17 14:21:50,"Kristi Noem","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"75",27385,"If you've been diagnosed with #COVID19 you can expect to be contacted by your local health department. They are here to help you through the process and keep you and others safe.",2020-08-26 11:15:12,"Andy Beshear","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"76",82508,"Last night we auctioned off this guitar (signed by 
@TedNugent
 and I) for $75k! All the proceeds will go to supporting pheasant habitat in the state. South Dakota has the best pheasant hunting in the world, and we’re gonna keep it that way. Learn more here: https://habitat.sd.gov/resources/secondcenturyhabitatfund.aspx…",2020-10-25 17:10:21,"Kristi Noem","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"77",135490,"This is wrong. 

Your employer’s opinions should not be able to interfere with your personal health care decisions.",2020-07-08 15:02:30,"Gretchen Whitmer","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"78",82908,"More Rushmore news: just got word that Mt. Rushmore will be lit up as bright as possible for Let It Shine SD!

The lights on Mt. Rushmore will shine tonight from 8:15-9:15 pm MT. For everyone else, don't forget to join us and shine your lights from 9:30-10 pm CT/8:30-9 pm MT.",2020-05-02 00:17:40,"Kristi Noem","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"79",97713,"Today's #COVID19 update:

- 96 new COVID-19 cases, totaling 25,902 cases statewide

- Three additional deaths, totaling 794 deaths statewide

- 69 individuals currently hospitalized with COVID-19

More info here: https://bit.ly/3bu5cGJ",2020-09-04 22:30:18,"Michelle Lujan Grisham","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"80",159697,"Please remember: If you feel sick with #COVID19MA symptoms, you should #stayhome
 and connect with telemedicine options via 
@buoyhealth
's online symptom checker.
Find it at http://mass.gov/covid19 or http://buoy.com/mass",2020-05-11 14:17:18,"Charlie Baker","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"81",190486,"As part of recognizing and honoring Juneteenth, listen to Oregon Senators and Representatives 
@bynum4thewin
, 
@manningstl
, 
@akasha4theppl
, and 
@LewFrederick
 share personal reflections on the meaning of this historic day.",2020-06-19 16:31:51,"Kate Brown","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"82",55827,"We want any Virginian who is worried they may have #COVID19 to have access to a test. Today, I announced that we are partnering with 
@CVSHealth
 to open 39 new testing sites at drive-thru locations across the Commonwealth, beginning tomorrow.

Learn more:",2020-05-28 21:48:33,"Ralph Northam","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"83",102669,"Confirmed COVID-19 Cases By County:
• Atlantic: 2,490
• Bergen: 18,818
• Burlington: 4,876
• Camden: 7,018
• Cape May: 671
• Cumberland: 2,666
• Essex: 18,364
• Gloucester: 2,414
• Hudson: 18,746
• Hunterdon: 1,039",2020-06-14 17:02:27,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"84",98242,"Stay home. Be safe. Wear a mask if you must go out. 

More information here: https://cv.nmhealth.org/2020/05/10/updated-new-mexico-covid-19-cases-now-at-4863/…",2020-05-10 22:28:27,"Michelle Lujan Grisham","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"85",131423,"We need all Oklahomans to remain cautious against this virus & do their part. Please continue to practice the Three W's:
 
Wash your hands frequently 
Watch your distance by staying six feet apart
Wear a mask when social distancing isn't possible",2020-08-17 16:13:23,"Kevin Stitt","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"86",101702,"Giving an update on Tropical Storm Isaias. WATCH LIVE:",2020-08-04 14:00:32,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"87",63338,"Hawaiʻi was approved for an additional week of the Lost Wages Assistance (LWA) Program. This adds one additional week of a $300 plus-up for various types of unemployment benefits on top of the three weeks initially approved by  (FEMA) on August 29.",2020-09-04 00:26:35,"David Ige","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"88",101868,"We will continue to assess the realities of this virus on-the-ground, and how they may impact schools’ plans broadly. 

We will make changes in real time if needed.",2020-07-24 17:06:21,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"89",108413,"Tonight I released the following joint statement with 
@NYGovCuomo
 and 
@GovMurphy
 regarding our regional travel advisory and our ongoing efforts to keep our respective states safe during this pandemic.",2020-10-20 22:37:15,"Ned Lamont","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"90",87022,"Don't forget to tune in at 2 p.m. CST for my press briefing to hear updates on COVID-19 in Kansas. Watch it live on Facebook at http://facebook.com/GovLauraKelly/.",2020-05-13 17:30:29,"Laura Kelly","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"91",102047,"How to protect yourself and those around you from #COVID19:

STEP ONE: Pick up a mask
STEP TWO: Put the mask over your nose and mouth
STEP THREE: That’s it",2020-07-11 15:46:03,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"92",69092,"My message for 
@BYUfootball
: The pandemic has been disruptive and discouraging. But if we work together in patience following expert medical advice, I am confident fans can return to the stands where they belong. #GoCougs",2020-09-26 22:36:56,"Gary Herbert","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"93",101958,"We remember Ludovino Alcantara, who was born and raised in the Dominican Republic, and came to the U.S. for better opportunities for himself and a better future for his family. With his wife Ana, he had 6 children, 20 grandchildren, and 7 great-grandchildren. May God bless him.",2020-07-17 17:20:52,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"94",121971,"The $150 million Emergency Mortgage Assistance Program will provide approximately 10,000 Illinois homeowners unable to pay their mortgage with a grant of up to $15,000 to mitigate housing instability.",2020-06-17 20:16:00,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"95",72285,".
@IndianaOCRA
 will review the applications to ensure they meet requirements and then a multi-agency committee will evaluate the proposals. Awards are expected to be announced in late July.

More information on the grant program can be found at http://ocra.in.gov/nlc.htm.",2020-06-04 14:15:51,"Eric Holcomb","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"96",144544,"Wear a mask for your family and friends.

#WearItSC",2020-07-02 23:00:00,"Henry McMaster","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"97",102439,"The most important metrics we’re tracking:
Current rates of spread of #COVID19
Daily percentage of positive test results
Realities within our health care systems and hospitals",2020-06-22 18:35:04,"Phil Murphy","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"98",153732,"Today, Gov. Edwards will provide an update on COVID-19 in Louisiana at 2:30 p.m. 
: 2:30 pm
: http://Facebook.com/LouisianaGov 
: http://gov.la.gov 

#lagov #lalege",2020-07-23 18:02:03,"John Bel Edwards","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"99",13341,"Together, we can contain the spread of #COVID19 by taking precautions we know work — like wearing a mask. We’re launching a new effort in partnership with Arizona’s leaders in advertising to promote the use of masks to protect public health. #MaskUpAZ 1/2",2020-07-23 22:22:57,"Doug Ducey","Republican",NA,NA,NA,NA,NA,NA,NA,NA
"100",27992,"Governor Beshear will update Kentuckians on #COVID19 at 5 p.m. ET. Tune in via http://Facebook.com/GovAndyBeshear or  http://youtube.com/GovAndyBeshear. 

#TogetherKy #TeamKentucky #HealthyatHome
 #HealthyatWork",2020-05-09 18:00:00,"Andy Beshear","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"101",122322,"IDES was quick to implement CARES Act benefits.

Beginning Monday, IDES will process claims for 1099-workers, including independent contractors and sole proprietors, self-employed individuals and many others who don’t qualify for traditional unemployment.",2020-05-07 21:02:11,"J. B. Pritzker","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
"102",63297,"Today I signed a 13th supplementary emergency proclamation that extends the COVID-19 emergency period through Oct. 31.",2020-09-24 03:30:47,"David Ige","Democratic",NA,NA,NA,NA,NA,NA,NA,NA
