,x1,text,time,name,party,for_blm,against_blm,topic_blm
14,10128,"Congrats to Judge Amy Coney Barrett on her nomination by 
@realDonaldTrump
, an excellent choice to be the next U.S. Supreme Court justice and 5th woman to serve on the nation's highest court. Judge Barrett is known as a champion of the Constitution and will serve our country well!",2020-09-26 21:41:40,Doug Burgum,Republican,0,0,0
15,10159,"Camp Grafton is a prime location for this facility, which will produce a talented pool of BIA & tribal police officers closer to their homes, families and culturally important ties. Grateful to 
@Interior
, Sen. Hoeven, MG Al Dohrmann & tribal partners for their work on this.",2020-09-03 17:27:18,Doug Burgum,Republican,0,1,1
16,10279,"This week, North Dakotans have organized peaceful demonstrations in cities across the state, calling for justice and equality in the wake of the George Floyd tragedy. We hear you, and as always, we are here to work together to make our great state an even better place to live.",2020-06-05 17:25:15,Doug Burgum,Republican,1,0,1
17,10289,"At the request of local authorities, we have declared a state of emergency and activated the 
@NDNationalGuard
 in Fargo, West Fargo & Cass County. The rule of law must be enforced to protect the public, protesters and first responders from illegal activity.",2020-05-31 4:01:00,Doug Burgum,Republican,0,1,1
18,10293,"We ask all North Dakotans to pray for his loved ones, for the recovery of the injured deputy & for the continued safety of all law enforcement officers. This is a tragic reminder of the risk our brave officers face every day when they put on the badge to protect our communities.",2020-05-28 3:39:17,Doug Burgum,Republican,1,0,1
19,10314,"On Peace Officers Memorial Day, we honor the heroic law enforcement officers who laid down their lives in service and protection of our communities, our citizens and our freedoms. https://governor.nd.gov/sites/www/files/documents/proclamations/Police%20Week%20-%20Peace%20Officer%20Memorial%20Day%202020.pdf…",2020-05-15 14:31:23,Doug Burgum,Republican,1,0,1
20,12680,"It is with immense sadness that we say goodbye to an Arizona treasure and great man, Dr. C.T. Wright. A pastor, teacher, criminal justice expert, public servant and civic leader, Dr. Wright lived a life defined by hard work and faith. 1/",2020-10-26 15:30:21,Doug Ducey,Republican,0,0,0
21,12782,"As we honor Kayla Mueller’s life and remember the bold operation that brought justice to her killers, we express our deepest appreciation to everyone who serves our nation in uniform. We are thankful for, and indebted to, each and every one of them. 
@AZNationalGuard
",2020-10-08 20:36:10,Doug Ducey,Republican,0,1,1
22,12827,"Thank you 
@AllisterAdel
 for your support and leadership to protect law enforcement officers and our communities.",2020-09-30 21:30:47,Doug Ducey,Republican,0,1,1
23,12981,"On this solemn anniversary and every day, Arizona is grateful to all the men and women who put themselves in harm’s way to serve others: our law enforcement, firefighters, first responders, medical professionals and our Soldiers, Sailors, Airmen, Marines, and Coast Guardsmen.",2020-09-11 13:30:00,Doug Ducey,Republican,0,1,1
24,13067,"I was honored to meet with Carl and Marsha Mueller earlier this year. Their daughter, Kayla, was a hero who had dedicated her life to serving others. 

Arizona is grateful to President Trump and the brave American service members who brought justice to their family.",2020-08-28 1:56:00,Doug Ducey,Republican,0,0,0
25,13072,"In response to a request by Wisconsin 
@GovEvers
, Arizona is sending more than 150 
@AZNationalGuard
 troops to support law enforcement capacity in the state. Arizona supports public safety, everywhere — and we stand with Wisconsin now in their time of need. 1/",2020-08-27 21:22:25,Doug Ducey,Republican,0,1,1
26,13198,"#OTD last year, I was honored to sign #HB2570 to establish a 21-member Study Committee on Missing and Murdered Indigenous Women and Girls. 

Thank you to the families and advocates who continue to lead this fight for answers and justice. #TBT #MMIW",2020-08-13 17:13:24,Doug Ducey,Republican,0,0,0
27,13214,"Arizona’s women and men in law enforcement are heroes. We are grateful for their unwavering bravery and service to our communities. Honored to join 
@VP
, @SenMcSallyAZ & the Arizona Police Association today to express our support for those who protect us every day. 
@PoliceArizona",2020-08-11 18:57:04,Doug Ducey,Republican,0,1,1
28,13538,"And we’re holding bad actors accountable. Last week, we increased guidance for establishments and gave local law enforcement clear authority to ensure compliance. And we’re already seeing action. 5/",2020-06-25 22:45:08,Doug Ducey,Republican,0,1,1
29,13549,Just flat out wrong. Despicable doesn’t go far enough.  The final words of George Floyd should NEVER be invoked like this. Anyone who mocks the murder of a fellow human has no place in public office. Period.,2020-06-25 1:32:03,Doug Ducey,Republican,1,0,1
30,13656,"With the curfew expiring, 
@Arizona_DPS
 will remain vigilant, working with local law enforcement leaders to ensure they have the tools necessary to keep our streets safe and protect the rights of all residents to make their voices heard. 3/",2020-06-08 18:04:57,Doug Ducey,Republican,0,1,1
31,13658,I want to thank both the peaceful protestors and law enforcement professionals for their cooperation during Arizona’s statewide curfew. Arizona has avoided much of the violence we’ve seen in other states and large metro areas. 1/,2020-06-08 18:02:19,Doug Ducey,Republican,0,1,1
32,13679,Thank you to law enforcement around the state and to all making their voices heard peacefully and respectfully.,2020-06-03 16:12:53,Doug Ducey,Republican,0,1,1
33,13690,"Updated 
@POTUS
, 
@VP
 and fellow governors on Arizona’s partnership with local leaders and law enforcement to keep our communities, businesses and property safe.",2020-06-01 18:31:38,Doug Ducey,Republican,0,1,1
34,13691,"I also want to say a big thanks to all the mayors and police chiefs throughout the state for their cooperation, coordination and leadership. Appreciate their public service during these very difficult and challenging times.",2020-06-01 16:10:33,Doug Ducey,Republican,0,1,1
35,13692,I know this has required patience from Arizonans. Thank you for following the curfew and allowing law enforcement to do their jobs and protect public safety. 3/3,2020-06-01 16:00:24,Doug Ducey,Republican,0,1,1
36,13697,"This gives law enforcement an additional tool to prevent the lawlessness we’ve seen here and in cities nationwide. Police will be equipped to make arrests of individuals who are planning to riot, loot or cause damage and unrest. 2/",2020-05-31 20:08:45,Doug Ducey,Republican,0,1,1
37,13698,"NOTICE:

At the request of local leaders and in coordination with state and local law enforcement, I’m issuing a statewide Declaration of Emergency, with a curfew in place starting at 8:00 p.m. tonight and effective for one week. 1/",2020-05-31 20:08:10,Doug Ducey,Republican,0,1,1
38,13700,"This kind of leadership from law enforcement, working with community leaders, will get us through. But we cannot, and will not stand for violence, looting, and criminal activity. 8/8",2020-05-31 18:07:35,Doug Ducey,Republican,0,1,1
39,13701,"In Arizona, we will listen ⁠— and this was demonstrated by the leadership DPS Colonel Heston Silbert displayed on Thursday night as he engaged with protestors at the Capitol. 7/",2020-05-31 18:06:23,Doug Ducey,Republican,0,1,1
40,13703,"What we are seeing is happening in cities and states everywhere in America, and Arizona leaders need to be on high alert. They need a plan. Today should be a working day for every local elected leader, city manager, police chief and sheriff in every jurisdiction in the state. 5/",2020-05-31 18:05:02,Doug Ducey,Republican,0,1,1
41,13704,"I'll be speaking w/ mayors around the state to ensure plans are in place to prevent this kind of lawlessness tonight & beyond. The state will provide all resources we can, through DPS, Nat. Guard, & coordination of local law enforcement. Every community needs to be prepared. 4/",2020-05-31 18:04:24,Doug Ducey,Republican,0,1,1
42,13713,"It's important that elected leaders at all levels make this very clear. Here, we will enforce the rule of law. 
@Arizona_DPS
 Colonel Heston Silbert is coordinating closely with law enforcement leaders across the state to ensure this remains a priority tonight and beyond. 3/",2020-05-30 17:54:16,Doug Ducey,Republican,0,1,1
43,13715,I want to compliment our law enforcement officers on their professional and valiant work the last two nights in protecting public safety and defusing the situations in downtown Phoenix and Tucson. 1/,2020-05-30 17:51:42,Doug Ducey,Republican,0,1,1
44,13782,"We’re grateful to the men and women of the 
@GlendaleAZPD
 and all the law enforcement and first responders who rushed to the scene last night. Their fast response no doubt saved lives. Arizona continues to offer our full support.",2020-05-21 15:55:15,Doug Ducey,Republican,0,1,1
45,13850,God bless the men and women of law enforcement.,2020-05-13 18:24:20,Doug Ducey,Republican,0,1,1
46,13864,"Arizona’s law enforcement personnel put their lives on the line to protect our communities. Thank you to our police officers for your strength, valor and sacrifice. #NationalPoliceWeek",2020-05-12 17:01:02,Doug Ducey,Republican,0,1,1
47,23531,"We just banned the carotid hold.

The carotid hold blocks the flow of blood to the brain.

It’s dangerous and should not be used by law enforcement.",2020-10-01 0:22:08,Gavin Newsom,Democratic,1,0,1
48,23532,"CA just became the first state in the nation to mandate the study and development of proposals for reparations.

Our past is one of slavery, racism, and injustice. Our systems were built to oppress people of color.

It’s past time we acknowledge that.",2020-09-30 22:26:48,Gavin Newsom,Democratic,1,0,1
49,23571,"We have lost a giant among us. A trailblazer. And a champion of equality and justice.

Our hearts ache tonight. Let us honor her memory by preserving the very ideals she fought so tirelessly for.

Rest in Power.",2020-09-18 23:53:07,Gavin Newsom,Democratic,0,0,0
50,23588,"A 31 year-old mother and a 24 year-old are fighting for their lives because of this cowardly, horrific act.

The perpetrator must be quickly brought to justice.

Praying for a full recovery for the deputies. 
@JenSiebelNewsom
 and I are keeping their loved ones in our thoughts.",2020-09-13 15:28:43,Gavin Newsom,Democratic,0,0,0
51,23820,"Tonight, CA’s Capitol will be lit up to honor #Juneteenth and remind us all that 155 years later, Black Americans still feel the impacts of government-sponsored racism.

We cannot shy away from our past, but we can choose to create a brighter future—built on equality and justice.",2020-06-19 19:46:45,Gavin Newsom,Democratic,1,0,1
52,23837,"We all have one universal need and desire -- to love and to be loved. It was only 53 years ago that Mildred and Richard had to fight for that right.

Today, we honor their courage and continue the fight for true equality and racial justice. #LovingDay",2020-06-12 19:38:48,Gavin Newsom,Democratic,1,0,1
53,23841,"Everyone has the right to protest peacefully and safely -- without being intimidated. 

I don’t want to see rubber bullets. Tear gas. We need a new statewide standard for use of force in protests.",2020-06-09 21:43:20,Gavin Newsom,Democratic,1,0,1
54,23844,"Our justice system is not blind. It discriminates based on the color of your skin.

We’ve accepted that as normal. Normalcy created the conditions that led to this moment.

If you want to go back to normalcy—I’m not going there with you.

We deserve more.",2020-06-05 21:42:30,Gavin Newsom,Democratic,1,0,1
55,23845,"The carotid hold blocks the flow of blood to the brain. It’s a dangerous tactic that should not be used by law enforcement. 

https://washingtonpost.com/national/california-governor-orders-end-to-carotid-hold-training/2020/06/05/536549ea-a766-11ea-898e-b21b9a83f792_story.html…",2020-06-05 20:09:53,Gavin Newsom,Democratic,1,0,1
56,23859,"Millions of people are lifting their voices in anger -- rightfully outraged at the systemic racism that persists in America.

Our state and nation must build from this moment -- united and more resolved than ever -- to address the reality of racism and its root causes.",2020-05-30 21:55:37,Gavin Newsom,Democratic,1,0,1
57,23861,"When will it end?

We are faced with that question over and over again.

The structural racism in our society persists. Our incapacity to wake up to that reality continues.

Every. Single. Day. in America.

#GeorgeFloyd",2020-05-29 22:21:03,Gavin Newsom,Democratic,1,0,1
58,26039,".
@KamalaHarris
 is a fearless fighter for justice and opportunity. She has been a lifelong champion for hardworking Americans, and she’s the right leader for this historic moment. We need to do everything we can to elect #BidenHarris2020.",2020-08-11 21:26:32,Gina Raimondo,Democratic,0,0,0
59,27082,".
@kystatepolice
 has hired 16 victim’s advocates – one for each KSP post throughout the commonwealth – to supply support services and resources to those in need.",2020-10-08 18:48:21,Andy Beshear,Democratic,0,0,0
60,27098,".
@kystatepolice
 has hired 16 victim’s advocates – one for each KSP post throughout the commonwealth – to supply support services and resources to those in need.",2020-10-07 12:33:48,Andy Beshear,Democratic,0,0,0
61,27128,I have been fighting human trafficking – and especially trafficking of children – since I served as Kentucky's Attorney General. This grant will help us to seek justice and create a well-supported network of services.  https://chfs.ky.gov/News/Documents/nrchildtrafficking.pdf…,2020-10-02 18:54:45,Andy Beshear,Democratic,0,0,0
62,27178,"This morning I spoke with 
@CNN
 on Breonna Taylor and the events from last night in Louisville.",2020-09-24 17:43:05,Andy Beshear,Democratic,1,0,1
63,27184,"Gov. Beshear, state leaders respond to grand jury report in Breonna Taylor case at 4 p.m. ET. Watch live via http://Facebook.com/GovAndyBeshear or http://YouTube.com/GovAndyBeshear for closed captions.",2020-09-23 19:11:20,Andy Beshear,Democratic,1,0,1
64,27371,"Fifty-seven years ago today, Dr. Martin Luther King marched on Washington and said the words, ""I Have a Dream."" Today, we see the outpouring of so many voices still fighting to defeat the same systemic racism that pervades our society, including the state of Kentucky.",2020-08-28 16:37:59,Andy Beshear,Democratic,1,0,1
65,27619,"The country and the commonwealth are better because of the unflinching courage and strength of John Lewis. 

He never wavered in his quest for a more perfect union. He became an unparalleled giant in the fight for justice and equality. (1 of 2)",2020-07-18 16:59:18,Andy Beshear,Democratic,0,0,0
66,27845,"Today would have been Breonna Taylor’s 27th birthday. We grieve with her mother, Tamika Palmer, and we are committed to building a more just and equitable commonwealth. ^AB",2020-06-05 17:08:01,Andy Beshear,Democratic,1,0,1
67,27852,Gov. Beshear is asking all Kentuckians to observe a moment of silence at 2 p.m. ET today to remember George Floyd as loved ones and leaders remember him in Minneapolis.,2020-06-04 17:52:32,Andy Beshear,Democratic,1,0,1
68,27856,"We are listening. 

I want to thank Tamika Palmer, Breonna Taylor's mother, for her bravery in giving voice to her daughter. 

Watch her statement: https://bit.ly/2XvpiLy",2020-06-03 22:15:13,Andy Beshear,Democratic,1,0,1
69,27865,"Monday morning Gov. Beshear addressed recent events in Louisville, and joined Breonna Taylor's mother, Tamika Palmer, along with attorney Lonita Baker, to speak on the search for justice. View the news conference:",2020-06-01 20:44:02,Andy Beshear,Democratic,1,0,1
70,27881,"(1of2) My heart aches for Louisville & our country. Breonna Taylor’s family & the public deserve the truth. We should honor Breonna’s legacy as an EMT & the pursuit of the truth should not be marred by violence. Here is a statement her mother, Tamika, provided to me this morning.",2020-05-29 14:45:43,Andy Beshear,Democratic,1,0,1
71,27900,Gov. Beshear also offered updates about a weekend protest at the Capitol https://go.usa.gov/xwCM4,2020-05-26 23:18:07,Andy Beshear,Democratic,1,0,1
72,27970,Gov. Beshear issues statement on Breonna Taylor:,2020-05-13 20:26:39,Andy Beshear,Democratic,1,0,1
73,28872,"A district attorney purposefully disregarding current, duly enacted laws by the legislature is a grave matter that threatens our justice system and has serious consequences.",2020-09-24 21:09:03,Bill Lee,Republican,0,0,0
74,28915,"Approaches that would result in the total upheaval of police are not the right approach to these real and challenging issues. We support law enforcement in Tennessee, and I have the utmost respect for these men and women who serve their communities every day.",2020-09-14 22:05:29,Bill Lee,Republican,0,1,1
75,28922,"We want to ensure that TN's law enforcement officers continue to receive the best training and standards so that we can respond to the evolving needs of law enforcement and in our communities. We believe the work done by this partnership is a great first step. - 
@HodgenMainda",2020-09-11 17:31:01,Bill Lee,Republican,0,1,1
76,28931,"I am confident the outcomes of this partnership will help ensure our law enforcement officials are effectively protecting communities across the state while serving every Tennessean with dignity and respect.

We will discuss these recommendations at today's briefing at 3CT/4ET",2020-09-10 16:08:41,Bill Lee,Republican,1,1,1
77,28968,"ICYMI: I joined 
@guypbenson
 on #FoxNewsRadio this afternoon. I discussed my optimism for the direction of this country and the opportunity for our state to provide opportunity and justice for all Tennesseans.",2020-08-28 23:01:06,Bill Lee,Republican,0,0,0
78,29172,"These steps call for updates to Use of Force and Duty to Intervene policies, improved information sharing across all law enforcement agencies, and an increase in officer training requirements.",2020-07-02 21:23:41,Bill Lee,Republican,1,0,1
79,29211,We encourage Tennesseans to exercise their First Amendment rights and have seen many examples of peaceful protests across our state in recent weeks.,2020-06-12 17:08:12,Bill Lee,Republican,0,1,1
80,29229,"Just last night, I watched citizens engage peacefully on the steps of our State Capitol. I commend these protestors for their candor and respectful engagement, and I commend our law enforcement, first responders, and the National Guard for their faithful service during this time.",2020-06-02 20:22:20,Bill Lee,Republican,0,1,1
81,29230,"Some have hijacked peaceful protests for their own ends, and to those I say: we will not tolerate violence against people or property in Tennessee. 

Violence does not represent our state – it tears at the fabric of who we are and it hurts our ability to learn from one another.",2020-06-02 20:22:20,Bill Lee,Republican,0,1,1
82,29231,"My heart is with those who are hurting, and with those who are bravely and peacefully speaking out against injustices that continue to exist in our country.",2020-06-02 20:22:20,Bill Lee,Republican,1,0,1
83,29232,"So far this year, it seems that every week brings a new and remarkable challenge. Certainly, this past week has continued down that path. The profound protests of recent days have gripped our attention, as they should.",2020-06-02 20:22:19,Bill Lee,Republican,1,0,1
84,29246,The protests in Murfreesboro are no longer peaceful demonstrations but have escalated to overt threats to public safety and property.,2020-06-01 0:45:41,Bill Lee,Republican,0,1,1
85,29248,"Violence and vandalism that occurred this weekend tears at the fabric of our community and stands in stark contrast to effective, peaceful protests that are foundational to our country.",2020-05-31 21:43:18,Bill Lee,Republican,0,1,1
86,29249,We believe many who engaged in unlawful acts of violence last night are not from Tennessee and I have directed the Department of Safety and Homeland Security to investigate further in coordination with local law enforcement and the TBI.,2020-05-31 21:43:17,Bill Lee,Republican,1,0,1
87,29251,The threat to both peace and property is unacceptable and we will work with local law enforcement and community leaders to restore safety and order. This is not a reflection of our state or the fundamental American right to peaceful protest.,2020-05-31 2:09:10,Bill Lee,Republican,0,1,1
88,29326,"The brave men and women of our law enforcement put their lives on the line every day to protect our communities. Thank you for serving Tennessee with compassion and courage.

#NationalPoliceWeek",2020-05-13 14:00:01,Bill Lee,Republican,0,1,1
89,30436,"Today I put forward a roadmap to implement 48 recommendations from the LEACT Commission I established after the murder of George Floyd. From body-cams for State Police to updating training methods, these are the most comprehensive law enforcement reforms this state has ever seen.",2020-09-17 22:26:57,Chris Sununu,Republican,1,0,1
90,30439,"We've identified four avenues for implementation:
1) Reforms we can make immediately through Executive Order
2) Reforms we can immediately initiate through rulemaking
3) Reforms that needed to be taken up by the legislature
4) Reforms implemented by local law enforcement agencies",2020-09-17 19:27:48,Chris Sununu,Republican,1,0,1
91,30440,"THREAD: Today I released a plan for NH to implement all recommendations from the Commission on Law Enforcement Accountability, Community, & Transparency, focusing on: training, reporting & investigation of police misconduct, and community relations. View: https://governor.nh.gov/sites/g/files/ehbemt336/files/documents/leact-recommendations-road-map.pdf…",2020-09-17 19:27:17,Chris Sununu,Republican,1,0,1
92,30580,"The initial training reforms recommended by the Commission on Law Enforcement Accountability, Community, & Transparency found consensus among community activists & law enforcement representatives. We are full steam ahead in implementing them.",2020-08-05 23:20:51,Chris Sununu,Republican,1,0,1
93,30588,"I have also granted the Commission a 30-day extension to develop recommendations on:

1. Reporting and investigations of police misconduct
2. How to improve relations between law enforcement and the communities they serve.

(/3)",2020-08-04 19:30:22,Chris Sununu,Republican,1,0,1
94,30589,These action items found consensus between all members of this commission - from community activists to our law enforcement representatives. We need to move quickly to implement these recommendations. It's time to get it done. (/2),2020-08-04 19:30:21,Chris Sununu,Republican,1,0,1
95,30590,"THREAD: Late last week, I received the initial report from the NH Commission on Law Enforcement Accountability, Community, and Transparency with recommendations on law enforcement training. My office has reviewed these initial training recommendations, and we endorse them all.",2020-08-04 19:30:21,Chris Sununu,Republican,1,0,1
96,30674,"Today I also signed HB 1645 into law, a comprehensive criminal justice reform bill. A few of the highlights are:
Prohibits the use of chokeholds by law enforcement
Prohibits private prisons in NH
Requires police officers to report misconduct
Additional bail reform",2020-07-16 19:33:12,Chris Sununu,Republican,1,0,1
97,30737,Earlier this month I called on the Senate to quit playing politics and get this bill done. Ensuring there is proper justice for victims of sexual assault is paramount. (1/2),2020-06-29 20:28:29,Chris Sununu,Republican,0,0,0
98,30797,"Today I announced a new commission which will make actionable recommendations within the next 45 days to enhance transparency, accountability, and community relations in law enforcement.

Our goal is simple: a new dynamic to benefit both our communities and law enforcement.",2020-06-16 23:18:18,Chris Sununu,Republican,1,0,1
99,30893,"In the coming days, there will surely be more protests. It is our hope – and expectation – that these will be peaceful affairs, but we are closely monitoring them and will be ready if there are folks who try and disrupt these peaceful gatherings. (6/6)",2020-06-03 19:11:07,Chris Sununu,Republican,1,0,1
100,30895,"State resources were deployed towards the end of the night to assist 
@mht_nh_police
. (4/6)",2020-06-03 19:09:59,Chris Sununu,Republican,0,1,1
101,30896,"Those attempting to destruct property and cause disruptions to residents and the police were arrested. 

There was minor property damage across the city, but all in all, law enforcement did a phenomenal job ensuring the city was safe. (3/6)",2020-06-03 19:09:59,Chris Sununu,Republican,0,1,1
102,30897,"Unfortunately, in other parts of Manchester, there were disruptive forces who attempted to make a scene. These incidents were entirely separate from the night's earlier, peaceful protest. (2/6)",2020-06-03 19:09:59,Chris Sununu,Republican,1,0,1
103,30898,"THREAD: Last night, there was an organized, peaceful candlelight vigil in Stark Park in Manchester. It was a somber, well-run occasion, and it was very peaceful. I would like to thank the organizers for the well-run event, and the State stands with them in their calls for justice",2020-06-03 19:09:59,Chris Sununu,Republican,1,0,1
104,30902,THREAD: There have been reports of threats of potential violence separate from the peacefully planned #GeorgeFloyd vigil in Stark Park tonight. (1/2),2020-06-02 22:20:40,Chris Sununu,Republican,1,0,1
105,30905,"My job as Governor is to hope for the best and plan for the worst, and that is what we are doing.

I have been in regular contact with 
@NH_StatePolice
, local police departments, and the 
@NHNationalGuard
 to ensure NH remains safe. (4/5)",2020-06-01 19:10:21,Chris Sununu,Republican,0,1,1
106,30907,"As we speak, there is a protest taking place at Hampton Beach in memory of George Floyd. As I have previously said, the state stands with those calling for justice. (2/5)",2020-06-01 19:10:20,Chris Sununu,Republican,1,0,1
107,30908,"THREAD: Over the last few days, we have seen peaceful protests happen across America – including here in NH. The March in Manchester on Saturday was a peaceful protest organized to enact change and continue the important conversation of injustice – a message that we support.",2020-06-01 19:10:20,Chris Sununu,Republican,1,0,1
108,30910,This AM I called the organizers ahead of the #GeorgeFloyd March in Manchester to let them know the State of NH stands with them in their calls for justice. This important conversation must continue and we must constructively work together as a nation to ensure there is change.,2020-05-30 17:21:45,Chris Sununu,Republican,1,0,1
109,34324,"I truly believe Alaska’s best days are ahead. Today 
@BLMNational
 approved the Willow oil project in the NPR-A. This project could create thousands of jobs, spur billions in investment, & send 160K barrels of oil per day through TAPS.

#akgov #akoil",2020-10-28 0:07:08,Mike Dunleavy,Republican,0,0,0
110,34326,"Glad to see Judge Barrett’s nomination moving to the full Senate. She will be a great justice who upholds the Constitution & inspires a new generation of female jurists & legal scholars

#SCOTUS 
@realDonaldTrump",2020-10-22 20:01:09,Mike Dunleavy,Republican,0,0,0
111,34331,"Rose & I will never stop working to bring justice to the families of missing & murdered Indigenous people. I want to thank 
@realDonaldTrump
, 
@FLOTUS
 & AG Barr for creating Operation Lady Justice & taking this issue so seriously.",2020-10-20 21:23:18,Mike Dunleavy,Republican,0,0,0
112,34373,"While other states talk about defunding their police & resist the fed. govt’s help with law enforcement in their communities, Alaska is proud to work with our fed. law enforcement partners & welcomes new tools to help our brave first responders

https://facebook.com/AlaskaStateTroopersOfficial/posts/3678801285486893…

#akgov",2020-09-05 20:00:01,Mike Dunleavy,Republican,0,1,1
113,34415,"Grateful for 
@BLMAlaska
’s work on AK’s Ambler Road project. Expected to create thousands of jobs and new revenue for our state, AK-sourced minerals will greatly benefit our nation's renewable energy transition.",2020-07-23 20:01:23,Mike Dunleavy,Republican,0,0,0
114,34419,"Google said that they won’t run this because it’s too political. Really? Recruiting police officers is to political! Yikes! I support our police 100%, like most Alaskans do.",2020-07-16 22:50:43,Mike Dunleavy,Republican,0,1,1
115,35185,Let this be an opportunity to learn from our past injustices and uplift the vibrant diversity that enriches our state to this day.,2020-10-12 16:16:55,Steve Bullock,Democratic,1,0,1
116,35227,"As our shared history includes many tragic injustices in our treatment of American Indians, it is my hope that we can continue to work together to heal past wounds and advance government-to-government relations. As governor, my priority has been to work towards this progress.",2020-09-25 17:56:22,Steve Bullock,Democratic,1,0,1
117,35245,"Justice Ruth Bader Ginsburg was a torch-bearer and a champion of justice and equality. Her peerless work spanned over half a century, and will always be an inspiration to so many attorneys, activists, and young women who look up to her as their hero, including my own daughters.",2020-09-19 0:17:47,Steve Bullock,Democratic,0,0,0
118,35262,"I'm incredibly inspired by the firefighters, law enforcement, and local, state, and federal partners who worked dang hard all weekend to protect Montanans. But we're not out of fire season yet, and all of us have the obligation to be careful.",2020-09-10 0:35:59,Steve Bullock,Democratic,0,0,0
119,35369,"I’m taking this action today not just to block William Perry Pendley’s further illegitimate oversight of BLM, but also to ensure that this unconstitutional abuse of executive powers does not become commonplace under any administration in the future.",2020-07-20 23:51:21,Steve Bullock,Democratic,1,0,1
120,35456,I’m pleased to see Montanans continue to make their voices heard in demanding justice and pursuing progress - doing so peacefully and safely in communities all throughout our state.,2020-06-15 2:13:51,Steve Bullock,Democratic,1,0,1
121,35478,"The pain we are seeing in Montana and across the country is real and devastating. As Montanans make their voices heard, we must continue to demand accountability, seek justice, and pursue progress peacefully.",2020-05-31 21:38:06,Steve Bullock,Democratic,1,0,1
122,35536,"Today and every day, let us remember the lives lost, such as Hanna Harris, Ashley Loring Heavy Runner and others. Let us honor their memory through our commitment to fighting for justice for indigenous women and girls, and to preventing these tragedies. #MMIW #NotInvisible",2020-05-05 17:40:29,Steve Bullock,Democratic,0,0,0
123,39782,"The 316 Fire that was reported Saturday afternoon near Hanna is currently at 15,000 acres. Aggressive fire suppression efforts have included the use of county and BLM engines, BLM helitack crews, smokejumpers and heavy air tankers.",2020-09-06 16:46:16,Mark Gordon,Republican,0,0,0
124,39871,"This is #NationalPoliceWeek, a week when we celebrate the bravery and selflessness of law enforcement officers who keep our communities safe. I want to thank our local, state and federal officers for their service to the people of Wyoming.",2020-05-11 19:58:15,Mark Gordon,Republican,0,1,1
