,x1,text,time,name,party,for_blm,against_blm
804,63636,"As a mark of respect for former state Rep. Dennis R. Yamada, I have ordered that the flags of the United States and State of Hawaiʻi shall be flown at half-staff to honor Yamada on the day of his memorial service.",2020-05-08 19:38:53,David Ige,Democratic,NA,NA
982,77681,"Welcome aboard, California. You’re going to love it.",2020-05-08 22:18:01,Jay Inslee,Democratic,NA,NA
447,27994,"If you are a business in need of hand sanitizer or face masks visit http://KyChamber.com/MaskOrderForm or http://KyHandSanitizer.com. 

Thank you to 
@KyChamber
 and 
@KyBourbonTrail
. #TeamKentucky #TogetherKy #HealthyatWork",2020-05-09 13:10:12,Andy Beshear,Democratic,NA,NA
959,40847,"Alabama #SmallBiz, #PPPLoans are still available. I urge you to contact your financial institution & visit https://home.treasury.gov/policy-issues/cares/assistance-for-small-businesses… for the latest Paycheck Protection Program info. Apply today! #alpolitics 
@SBAgov
 @USTreasury
 @ALBankers
 @nfib_al",2020-05-09 14:21:25,Kay Ivey,Republican,NA,NA
330,90456,Keeping hands clean is one of the most important things we can do to stop the spread of germs and stay healthy. #InThisTogetherOhio #StaySafeOhio,2020-05-09 19:20:00,Mike DeWine,Republican,NA,NA
105,31009,"Things look a little different this year, but the love of a mom never wavers. Wishing a Happy #MothersDay to all of the remarkable mothers across the Granite State, especially to my amazing wife, Valerie, and to my Mom.",2020-05-10 13:35:08,Chris Sununu,Republican,NA,NA
57,87031,"Happy Mother’s Day, Kansas! My mother, Jeanne Maddock Kelly (back right), taught me (front right) valuable lessons about leadership and compassion that helped me get to where I am today. I hope all mothers, aunts, grandmas and mother figures have a special day.",2020-05-10 14:32:53,Laura Kelly,Democratic,NA,NA
638,10324,"Since announcing #NDSmartRestart, we’ve averaged 1,741 tests/day, just shy of our 1,800/day goal. We’ve climbed to 3rd in the U.S. in per capita testing as we’re working through supply/equipment issues and shifting from drive-through testing to a more targeted approach.",2020-05-10 18:35:57,Doug Burgum,Republican,NA,NA
846,31000,The State has made face masks available to all those who elect to open for business today. Request yours at:,2020-05-11 13:21:42,Chris Sununu,Republican,NA,NA
553,115258,"To the officers who risk their lives to protect Missourians, we thank you. #NationalPoliceWeek",2020-05-11 14:55:35,Mike Parson,Republican,NA,1
969,103481,"LOOK: We’re seeing real progress in declining positivity rates.

The spot positivity rate for tests from May 7th – the last day for which we have complete data – is 26 percent.",2020-05-11 17:30:13,Phil Murphy,Democratic,NA,NA
416,90438,Key Metrics,2020-05-11 18:34:12,Mike DeWine,Republican,NA,NA
118,63632,"Starting today, DLIR will be taking calls from those whose last name begins with the letters A – G. If you are part of this group, you can call unemployment services to receive assistance on your UI certification claims. #hawaiicovid19",2020-05-11 19:51:18,David Ige,Democratic,NA,NA
795,115246,"On Friday, 
@MoSEMA_
 distributed 17,800 goggles, more than 1,700 boxes of gloves, and over 75,000 bottles of hand sanitizer to local law enforcement and fire service agencies.",2020-05-11 20:13:26,Mike Parson,Republican,NA,NA
726,133895,"This is challenging for all Minnesotans. It’s hard on our lives, our businesses, and our families.

But whether it’s a friend or a neighbor, we reach out and help each other up. That’s who we are as Minnesotans, and that’s what it means to get through this together. #OneMinnesota",2020-05-12 1:09:29,Tim Walz,Democratic,NA,NA
628,43751,I am happy to proclaim May 12 as Nurses Day in Idaho. Thank you to these dedicated health care workers!,2020-05-12 12:00:01,Brad Little,Republican,NA,NA
834,82880,"Our state motto is simple and powerful: ""Under God, the people rule."" That's why I trusted our people to do the right thing for themselves and their loved-ones. We're not out of the woods yet, but so far we're doing well.

Thanks 
@ShannonBream
 for a great discussion!",2020-05-12 14:20:26,Kristi Noem,Republican,NA,NA
665,146952,"May 15 is Peace Officers Memorial Day. We pay tribute to the local, state, and federal peace officers who have died or who have been disabled in the line of duty. Thank you 
@DECorrection
 for this tribute to Lt. Steven Floyd and Delaware's law enforcement.",2020-05-12 16:16:17,John Carney,Democratic,NA,NA
625,103453,"We need a robust testing program that is engrained throughout our communities and goes out to the people:
Vulnerable populations
Frontline workers – health workers, first responders, transit workers, and food service workers
General population",2020-05-12 17:16:58,Phil Murphy,Democratic,NA,NA
433,103439,".
@NJDeptofHealth
 will soon sign a memorandum of understanding with 
@RutgersSPH
 to stand up the first group of our new contact-tracing workforce.",2020-05-12 17:21:29,Phil Murphy,Democratic,NA,NA
923,103436,"This will not be cheap. 

Maintaining both a steady supply of testing materials and a community of contact tracers will take hundreds of millions of dollars. We all must understand that.",2020-05-12 17:25:05,Phil Murphy,Democratic,NA,NA
794,98232,"As of today, Lovelace Hospital in downtown Albuquerque is open to ANYONE that needs or wants a test. The drive-up clinic is open 9 am – 3 pm.

Testing by appointment is available at ALL 
@NMDOH
 public health offices.

See statewide testing sites here:
https://cvprovider.nmhealth.org/directory.html",2020-05-12 17:35:06,Michelle Lujan Grisham,Democratic,NA,NA
501,103417,"• Mercer: 5,426
• Middlesex: 14,121
• Monmouth: 7,041
• Morris: 5,908
• Ocean: 7,633
• Passaic: 14,716
• Salem: 418
• Somerset: 4,115
• Sussex: 1,038
• Union: 14,203
• Warren: 1,061
• Under Investigation: 704",2020-05-12 17:53:29,Phil Murphy,Democratic,NA,NA
861,90413,Key metrics,2020-05-12 18:18:43,Mike DeWine,Republican,NA,NA
346,55883,"Today, I signed an executive order delaying Phase One of our #ForwardVirginia plan to safely ease restrictions on certain business operations for specific localities in Northern Virginia.",2020-05-12 21:33:13,Ralph Northam,Democratic,NA,NA
419,13852,"I’m grateful to all Arizonans for their partnership and cooperation during these trying times. By continuing to follow the data and recommendations of public health officials, we can continue to move forward safely and responsibly together. #ReturnStronger 10/10",2020-05-12 22:48:31,Doug Ducey,Republican,NA,NA
38,69353,We are deeply saddened to hear of the tragic incident that happened in Little Wildhorse Canyon. Our thoughts and prayers are with the family at this time.,2020-05-13 0:25:00,Gary Herbert,Republican,NA,NA
483,103397,LOOK: The map that we have been regularly turning to keeps showing slower rates of spread across the state.,2020-05-13 17:13:49,Phil Murphy,Democratic,NA,NA
88,90401,"Find resources for parents and families here: https://bit.ly/2yE8OHr

#StaySafeOhio
#InThisTogetherOhio",2020-05-13 17:37:00,Mike DeWine,Republican,NA,NA
56,30991,"THREAD: Over $25 million dollars have gone to New Hampshire companies who are manufacturing, procuring, and securing PPE. This is a team effort, and New Hampshire is getting the job done.",2020-05-13 19:08:56,Chris Sununu,Republican,NA,NA
93,167127,"2/ The continued sacrifices by residents and businesses are saving lives and helping us get to the other side of this incredibly difficult time for our city.

Together, by staying home a little longer, soon we will be able to reopen DC safely and sustainably.",2020-05-13 19:23:33,Muriel Bowser,Democratic,NA,NA
868,90398,"Our #ResponsibleRestartOhio Guide for Health Care has insight and best practices to resume non-urgent health care services across the #Ohio through a stepwise approach. 

Find it here: http://bit.ly/2Yq2LAK

#InThisTogetherOhio
#StaySafeOhio",2020-05-13 19:38:00,Mike DeWine,Republican,NA,NA
319,122285,"From very early in this crisis, the state has worked to support and protect the employees and residents of long-term care facilities around the state. 

That work began back in early March long before we ever had a known congregate care case.",2020-05-13 20:40:13,J. B. Pritzker,Democratic,NA,NA
890,10316,"""Man, that team is really good.""
@POTUS
 wants to see 
@NDSUfootball
 back at the White House. #GoBison",2020-05-13 23:40:05,Doug Burgum,Republican,NA,NA
46,63623,"RT 
@EnergyHawaiiGov
: Hawaii census data helps to determine where to build new schools, roads, health care facilities, child-care and senior centers, shopping malls, and homes. #everyonecounts
https://census.hawaii.gov/census_2020/",2020-05-14 0:50:02,David Ige,Democratic,NA,NA
573,129263,"We are monitoring the brush fires in SWFL and this afternoon I will be traveling to #CollierCounty to receive an update from local emergency management officials. We thank the first responders & 
@FLForestService
 who are working to contain these brush fires & keep residents safe.",2020-05-14 13:13:19,Ron DeSantis,Republican,NA,NA
592,129262,"Florida reports another 150+ new cases today from prisons, including 98 new cases at Homestead CI in Miami-Dade County.",2020-05-14 14:13:28,Ron DeSantis,Republican,NA,NA
948,46111,"As counties move from the red to yellow phase, many businesses will be able to resume in-person operations.

To keep our workers, customers, and communities safe, we have released guidance for those operating in yellow phase counties.

See the full list 
 https://pa.gov/guides/responding-to-covid-19/#ForBusinesses…",2020-05-14 16:00:01,Tom Wolf,Democratic,NA,NA
893,13845,"NEW: While grocery store and food bank employees work to serve others, we want to make sure they have access to safe and secure child care. Arizona Enrichment Centers are expanding to offer prioritized child care for these hardworking Arizonans. MORE: https://arizonaenrichmentcenters.az.gov 1/",2020-05-14 17:10:16,Doug Ducey,Republican,NA,NA
104,103364,"We remember Scott Geiger, one of our front-line public health heroes. He was an EMT for 30 years. He loved the 
@nyjets
, his friends, and his family. We thank him for his service to our people, and send our deepest condolences to his loved ones.",2020-05-14 17:22:24,Phil Murphy,Democratic,NA,NA
522,69350,"Utah's K-12 schools will remain closed through the end of the school year. We are grateful to teachers, parents, and students for the extra effort they continue to put into learning from home.",2020-05-14 17:28:49,Gary Herbert,Republican,NA,NA
407,69343,"Replying to 
@MFR_MikeRyan",2020-05-14 17:45:42,Gary Herbert,Republican,NA,NA
698,90386,"Beginning Sunday, May 31st childcare providers in #Ohio will be able to re-open, with reduced numbers of children in each classroom and intensified cleaning and handwashing practices. #ResponsibleRestartOhio",2020-05-14 18:12:31,Mike DeWine,Republican,NA,NA
306,90381,"This includes family childcare, childcare centers, and both publicly-funded and private providers. All are eligible for this grant program. More information will be posted on the 
@OhioJFS
 website soon.",2020-05-14 18:19:06,Mike DeWine,Republican,NA,NA
639,69336,"Utah’s decision to move its health guidance from Moderate Risk (Orange) to Low Risk (Yellow) in Southeastern Utah does not apply to the current situation on Navajo Nation lands located in Utah, as these are sovereign lands.",2020-05-14 19:09:02,Gary Herbert,Republican,NA,NA
22,159678,"To immediately meet testing needs, we are glad today that 
@CVSHealth
 announced the launch of 10 drive-through testing sites at locations across the Commonwealth, among the first in their nationwide expansion.
Learn more about the new sites and our plan: https://bit.ly/2AuuztJ",2020-05-14 19:18:30,Charlie Baker,Republican,NA,NA
932,13839,"Great lunch with some good friends! Thank you 
@pitajungle
 for implementing health precautions to keep customers and staff safe — and thank you for the excellent service! 
  #ReturnStronger 
@KateMcGeeAZ
 @AZRobertMeza
 @TJShopeforAZ
 @JeffWeninger",2020-05-14 19:53:28,Doug Ducey,Republican,NA,NA
736,77659,"WATCH: Today I’m talking with representatives from 
@WAhospitality
, 
@WARetail
 and the WA Auto Dealers Association about our Safe Start guidance for businesses. 

Tune in at 3:30 PM.: https://tvw.org/watch/?eventID=2020051052…",2020-05-14 21:03:10,Jay Inslee,Democratic,NA,NA
971,129256,"Today we take an important step for South Florida. Thanks to our collaboration with local leaders including 
@MayorGimenez
, 
@HolnessD9
 and 
@mayorbermudez
, I have signed an executive order granting requests from Miami-Dade and Broward to move them into Phase 1. #SafeSmartStepbyStep",2020-05-14 21:51:19,Ron DeSantis,Republican,NA,NA
394,35516,"While we're not immune to the problems facing so many states, we're in better shape than most, and we are taking steps to save on expenditures, offset revenue declines, and avoid a future that would lead to drastic cuts.",2020-05-15 15:34:02,Steve Bullock,Democratic,NA,NA
634,103337,"We remember Newark Police Sergeant Michael Clegg, a 27-year veteran of the force. He was also a member of the Newark Police Bronze Shield, an association of African American police officers. We thank Sergeant Clegg for his service. May God bless him.",2020-05-15 17:22:52,Phil Murphy,Democratic,NA,NA
571,115186,"This afternoon, 
@FirstLadyTeresa
 & I traveled to the Kansas City area to visit the 
@Ford
 Assembly Plant in Claycomo. Ford issued a “Return to Work Manufacturing Playbook” regarding the reopening of its manufacturing & other facilities, and we came to see these policies in action.",2020-05-15 17:47:03,Mike Parson,Republican,NA,NA
461,115185,"Approximately 7,250 employees work at 
@Ford
’s Kansas City assembly plant where they currently produce the Ford Transit, F-150.",2020-05-15 17:47:06,Mike Parson,Republican,NA,NA
815,146938,"We can’t have a healthy, functioning economy again until our communities are healthy. Your actions have driven down cases and hospitalizations statewide. That will help us reopen Delaware’s economy safely in the coming weeks - while protecting the most vulnerable Delawareans.",2020-05-15 18:00:37,John Carney,Democratic,NA,NA
478,46107,"Today, I announced the third round of counties moving from the red to yellow phase.
 
Beginning at 12:01 a.m. Friday, May 22nd the following 12 counties will join the other 37 yellow phase counties.
 
 Adams
 Beaver
 Carbon
 Columbia
 Cumberland
 Juniata
 Mifflin",2020-05-15 18:05:28,Tom Wolf,Democratic,NA,NA
619,90363,Today is National Peace Officers Memorial Day. Please take a moment to remember all of the courageous officers in #Ohio who made the ultimate sacrifice while serving their communities.,2020-05-15 18:30:14,Mike DeWine,Republican,NA,NA
800,30977,"Today we are doubling the amount allocated for our health care organizations by increasing the Emergency Fund by $50 million, bringing the total to $100 Million — which will help facilities keep their lights on and provide critical services to those in need.",2020-05-15 19:14:19,Chris Sununu,Republican,NA,NA
316,98205,"@NM_MVD
 will be partially reopening on June 1 by appointment only, reserving early morning appointments for seniors.

Important: Appointments will be available only for individuals who cannot complete their transaction using MVD's online services at http://mvd.newmexico.gov",2020-05-15 21:30:39,Michelle Lujan Grisham,Democratic,NA,NA
259,69330,"We can all support Utah agriculture and businesses. Shop local, and wear a mask!",2020-05-15 21:59:16,Gary Herbert,Republican,NA,NA
305,29310,"ICYMI: Gyms, fitness, and exercise facilities in 89 of Tennessee's 95 counties can now safely operate at 50% capacity.

To access full #TNPledge guidelines, visit http://bit.ly/3f6EANu.",2020-05-17 15:30:00,Bill Lee,Republican,NA,NA
799,190606,"Asian Americans and Pacific Islanders have been contributing to Oregon's economy and culture for more than 200 years. Especially now, we must stand together against xenophobia, racism, & discrimination. With May as #AAPIHeritageMonth, let's honor and celebrate these communities.",2020-05-17 18:47:34,Kate Brown,Democratic,NA,NA
226,135567,"On Friday, I signed an Executive Order to create the Return to Learn Advisory Council. The council will provide recommendations on how to safely, equitably, and efficiently return to school in the fall. If you’d like to serve on the council, apply at: https://michigan.gov/whitmer/0,9309,7-387-90501---,00.html…",2020-05-17 19:35:53,Gretchen Whitmer,Democratic,NA,NA
120,23889,Tune in.,2020-05-18 16:49:09,Gavin Newsom,Democratic,NA,NA
382,103251,"• Mercer: 408
• Middlesex: 888
• Monmouth: 513
• Morris: 569
• Ocean: 633
• Passaic: 839
• Salem: 20
• Somerset: 375
• Sussex: 138
• Union: 962
• Warren: 121",2020-05-18 17:54:08,Phil Murphy,Democratic,NA,NA
659,176909,"We are able to do this, in part, because of local manufacturers who have worked with the state to shift their production to make personal protective equipment. With their help, we are now able to share the equipment to where it is needed.",2020-05-18 18:04:12,Roy Cooper,Democratic,NA,NA
656,146936,"In coordination with 
@Delaware_DHSS
 Public Health and the Delaware Council of Faith-Based Partnerships, we have updated the guidance for churches and other houses of worship.
 https://news.delaware.gov/2020/05/18/governor-carney-issues-guidance-for-churches-houses-of-worship/…",2020-05-18 18:48:29,John Carney,Democratic,NA,NA
194,30953,THREAD: Today we are putting forward comprehensive guidance that will ensure the safety and security of children and staff at NH's child care facilities. This guidance was unanimously endorsed by our bipartisan Reopening Taskforce Committee and approved by NH Public Health.,2020-05-18 19:23:15,Chris Sununu,Republican,NA,NA
495,29304,"Our friends at 
@YMCAMemphis
 and 
@MSouthFoodBank
 have joined forces to eliminate hunger during this pandemic. With the help of the Shelby Co. community, free meals are available for 
@SCSK12Unified
 students - 7 days a week at 60+ locations.

Learn more at http://bit.ly/3dUV9dR.",2020-05-18 19:42:53,Bill Lee,Republican,NA,NA
498,115162,"It is important to remember that the more tests we do, the more positive cases there will be. But again, I want to emphasize that not all of these positive cases are hospitalized.

The vast majority of people have already recovered or are currently recovering at home.",2020-05-18 20:12:43,Mike Parson,Republican,NA,NA
255,144573,"...institutions of higher education – to be done quickly but carefully to get them back on their feet. Time is of the essence and deadlines are approaching. 

(2/2)",2020-05-18 20:17:44,Henry McMaster,Republican,NA,NA
909,69329,Today the First Lady and I were able to join President Donald Trump and First Lady Melania Trump as well as  governors and first spouses on a call focused on improving mental health. #utpol,2020-05-18 21:07:01,Gary Herbert,Republican,NA,NA
899,190596,"There are no shortcuts for us to return to life as it was before this pandemic. Moving too quickly could return Oregon to the early days of this crisis, when we braced for overfilled hospitals and ventilators in short supply.",2020-05-19 3:27:05,Kate Brown,Democratic,NA,NA
94,30946,Restaurants across NH have not just made outdoor dining work - they’ve taken innovative approaches to adhere to our safety guidelines and make outdoor dining an experience of its own. THANK YOU to everyone for a successful first day! #603Pride,2020-05-19 13:31:26,Chris Sununu,Republican,NA,NA
7,103231,"LOOK: We’re not out of the woods yet.

Our standing in comparison to our neighboring states is improving, but we have much more work to do together.

Keep it up.",2020-05-19 17:19:17,Phil Murphy,Democratic,NA,NA
705,90309,".
@LtGovHusted
: Next Tuesday, 
@Ohio_BMV
 locations will reopen - but you DO NOT have to rush there. The last thing we want is large crowds. In fact, most things you can do online at http://oplates.com. If your license expired, it is still valid b/c of the state of emergency.",2020-05-19 18:33:43,Mike DeWine,Republican,NA,NA
267,154106,"Families must complete the online application to receive benefits. Without the requested information, 
@LouisianaDCFS
 cannot issue the P-EBT card and provide benefits.

To apply for the Pandemic EBT program, visit: http://dcfs.la.gov/page/pebt-program#apply…

#lagov #lalege",2020-05-19 19:36:57,John Bel Edwards,Democratic,NA,NA
261,115133,"We need to be smart & responsible - especially as we approach Memorial Day. I know a lot of people will celebrate the holiday by spending time with family & friends.

I encourage you to get outside and do these things, but please remember to be cautious and SOCIAL DISTANCE.",2020-05-19 20:19:16,Mike Parson,Republican,NA,NA
355,129227,".
@FLDEO
 has paid out more in the last 10 weeks than it has in the last 5 years combined.

We will continue working around the clock to support Floridians.",2020-05-19 21:15:38,Ron DeSantis,Republican,NA,NA
